text,mitre_technique_ID,mitre_technique_name
This file extracts credentials from LSASS similar to Mimikatz.,T1003.001,OS Credential Dumping: LSASS Memory
"It calls OpenProcess on lsass.exe with access flag set to VM_READ, and looks for the modules wdigest.dll and lsasrv.dll loaded in the lsass.exe process.",T1003.001,OS Credential Dumping: LSASS Memory
"It spreads to Microsoft Windows machines using several propagation methods, including the EternalBlue exploit for the CVE-2017-0144 vulnerability in the SMB service.",T1210,Exploitation of Remote Services
SMB exploitation via EternalBlue,T1210,Exploitation of Remote Services
SMBv1 Exploitation via EternalBlue,T1210,Exploitation of Remote Services
has the capability to exploit SMBv1 via the well known EternalBlue exploit.,T1210,Exploitation of Remote Services
SMB copy and remote execution,T1570,Lateral Tool Transfer
This thread is then used to execute the SMB copy and remote execution,T1570,Lateral Tool Transfer
SMB copy and remote execution,T1570,Lateral Tool Transfer
SMB Copy and Remote Execution,T1570,Lateral Tool Transfer
The malware decompresses its resource named,T1140,Deobfuscate/Decode Files or Information
The malware decompresses a resource,T1140,Deobfuscate/Decode Files or Information
This is used as an integrity check for the decryption process.,T1140,Deobfuscate/Decode Files or Information
"decrypt the MFT,",T1140,Deobfuscate/Decode Files or Information
the code attempts to decrypt the contents,T1140,Deobfuscate/Decode Files or Information
"Once the sector is decrypted,",T1140,Deobfuscate/Decode Files or Information
and the same key is used to decrypt the MFT.,T1140,Deobfuscate/Decode Files or Information
"is also decoded, and placed back",T1140,Deobfuscate/Decode Files or Information
its resource section are decompressed and written to disk,T1140,Deobfuscate/Decode Files or Information
The malware is a DLL that is launched using rundll32.exe:,T1218.011,System Binary Proxy Execution: Rundll32
being invoked by rundll32.exe.,T1218.011,System Binary Proxy Execution: Rundll32
Command Line Execution,T1059.003,Command and Scripting Interpreter: Windows Command Shell
Once the command line arguments are generated,T1059.003,Command and Scripting Interpreter: Windows Command Shell
The malware also spawns cmd.exe to execute the following command,T1059.003,Command and Scripting Interpreter: Windows Command Shell
that hashes each running process on the system,T1057,Process Discovery
Process Hashes and Process Privilege Checks,T1057,Process Discovery
to track which of the 3 processes are running on the system.,T1057,Process Discovery
"compares each hash with 3 hardcoded hashes:

0x6403527E → avp.exe associated with Kaspersky AV
0x23214B44  → ns.exe associated with Norton Security
0x651B3005 → ccSvcHst.exe associated with Symantec",T1518.001,Software Discovery: Security Software Discovery
using the API NtRaiseHardError,T1106,Native API
invokes the following API’s:,T1106,Native API
"GetExtendedTcpTable to retrieve a list of TCP endpoints
GetIpNetTable to retrieve",T1106,Native API
NetServerEnum to get a list,T1106,Native API
NetServerGetInfoto retrieve the current configuration,T1106,Native API
CreateFile and WriteFile are used,T1106,Native API
"CreateProcessAsUser or CreateProcess is executed,",T1106,Native API
is created using the same API call;,T1106,Native API
Calls CryptEncrypt,T1106,Native API
it also invokes the API NTRaiseHardError.,T1106,Native API
undocumented Windows API that causes,T1106,Native API
"If the API fails to execute, the malware calls InitiateSystemShutdownExW",T1106,Native API
NetServerGetInfoto retrieve the current configuration for the local server,T1082,System Information Discovery
Obtains the IP address from the ClientIpAddress field,T1016,System Network Configuration Discovery
There are two approaches to using valid credentials to copy and execute the malware to a remote host:,T1078,Valid Accounts
is used to connect to a server using the default credentials,T1078,Valid Accounts
WMIC,T1047,Windows Management Instrumentation
C:\Windows\system32\wbem\wmic.exe /node,T1047,Windows Management Instrumentation
encodes it using XOR encoding with key,T1027,Obfuscated Files or Information
contains the original MBR that was encoded by XORing,T1027,Obfuscated Files or Information
which were previously encrypted,T1027,Obfuscated Files or Information
the original encoded MBR,T1027,Obfuscated Files or Information
"obtain keystrokes, and status of keyboard buffer",T1056.001,Input Capture: Keylogging
The malware only targets fixed drives on the system.,T1083,File and Directory Discovery
The malware will first start enumerating files in the directory it is being executed from.,T1083,File and Directory Discovery
the scheduled task is set to trigger 60 minutes after the malware execution by default.,T1053.005,Scheduled Task/Job: Scheduled Task
the scheduled task will trigger 30 minutes after the malware execution.,T1053.005,Scheduled Task/Job: Scheduled Task
Explanation of schtask parameters,T1053.005,Scheduled Task/Job: Scheduled Task
taskrun. Path and filename of the task to be run,T1053.005,Scheduled Task/Job: Scheduled Task
"For instance, immediately after execution, it loads itself in memory, and deletes itself from the disk.",T1027,Obfuscated Files or Information
delete important files,T1070.004,Indicator Removal: File Deletion
the configuration file will be deleted,T1070.004,Indicator Removal: File Deletion
threat actors use Themida packer to obfuscate the signature used for detection.,T1027,Obfuscated Files or Information
packed by noted tools,T1027,Obfuscated Files or Information
Themida-packed,T1027,Obfuscated Files or Information
upload/download file,T1105,Ingress Tool Transfer
remote shell functions.,T1059.003,Command and Scripting Interpreter: Windows Command Shell
"It supports proxy (Socks5),",T1090,Proxy
with SOCKS v5 server,T1090,Proxy
used to dump information from the victim’s Oracle database.,T1005,Data from Local System
an information stealer used to harvest internal information.,T1005,Data from Local System
Obfuscated PowerShell script,T1027,Obfuscated Files or Information
multi-layer obfuscation,T1027,Obfuscated Files or Information
to obfuscate their tools,T1027,Obfuscated Files or Information
have adopted more obfuscation techniques,T1027,Obfuscated Files or Information
Heavily obfuscated PowerShell script,T1027,Obfuscated Files or Information
the encrypted payload,T1027,Obfuscated Files or Information
the encrypted payload,T1027,Obfuscated Files or Information
to obfuscate control flow of program.,T1027,Obfuscated Files or Information
Heavy obfuscation in a simple but useful anti-analysis approach makes it difficult for security products to detect their scripts.,T1027,Obfuscated Files or Information
threat actors use multi-layered AES encryption and base64 encoding to obfuscate,T1027,Obfuscated Files or Information
obfuscate the execution flow of the program,T1027,Obfuscated Files or Information
the decryption algorithm,T1140,Deobfuscate/Decode Files or Information
decrypted with RC4 algorithm,T1140,Deobfuscate/Decode Files or Information
usage of a highly similar decryption algorithm,T1140,Deobfuscate/Decode Files or Information
to decrypt the payload,T1140,Deobfuscate/Decode Files or Information
decrypt it,T1140,Deobfuscate/Decode Files or Information
the decryption function into RC4,T1140,Deobfuscate/Decode Files or Information
they always have used DLL sideloading as their major technique to launch their malware.,T1574.002,Hijack Execution Flow: DLL Side-Loading
adopted DLL sideloading techniques to run their malware.,T1574.002,Hijack Execution Flow: DLL Side-Loading
used DLL sideloading to launch their malware,T1574.002,Hijack Execution Flow: DLL Side-Loading
"The malicious DLL “gtn.dll”, which we named as “ShellFang”, loads when a legitimate executable is launched.",T1574.002,Hijack Execution Flow: DLL Side-Loading
including API hashing and execution flow obfuscation through exception mechanism,T1027,Obfuscated Files or Information
Windows APIs are obfuscated via a hashing function and dynamically resolved in the run-time.,T1027,Obfuscated Files or Information
Necessary APIs will be dynamically resolved during execution.,T1027,Obfuscated Files or Information
"API obfuscation, and execution flow obfuscation",T1027,Obfuscated Files or Information
abusing exception mechanisms to obfuscate the execution flow of programs and Windows API hashing.,T1027,Obfuscated Files or Information
the final payload is an HTTPs Cobalt Strike beacon.,T1071.001,Application Layer Protocol: Web Protocols
by creating immediate tasks through GPO.,T1484.001,Domain or Tenant Policy Modification: Group Policy Modification
abused group policy objects (GPO) to install loaders,T1484.001,Domain or Tenant Policy Modification: Group Policy Modification
Propagation through GPO,T1484.001,Domain or Tenant Policy Modification: Group Policy Modification
they will submit immediate tasks to the hosts in the domain through GPO,T1484.001,Domain or Tenant Policy Modification: Group Policy Modification
As the hosts receive the task through GPO,T1484.001,Domain or Tenant Policy Modification: Group Policy Modification
"usually compile all necessary libraries in a single binary, making malware classification more difficult for analysts and resulting in a large binary",T1027,Obfuscated Files or Information
"Once the victim opens the document,",T1204.002,User Execution: Malicious File
injecting the shellcode into rundll32.exe,T1055,Process Injection
Shellcode which is used for code injection,T1055,Process Injection
proxy,T1090,Proxy
create scheduled tasks for persistence.,T1053.005,Scheduled Task/Job: Scheduled Task
to create a ImmediateTask,T1053.005,Scheduled Task/Job: Scheduled Task
Windows API,T1106,Native API
Windows APIs,T1106,Native API
backdoor is a basic remote shell,T1059.003,Command and Scripting Interpreter: Windows Command Shell
C:\Windows\System32\cmd.exe /c,T1059.003,Command and Scripting Interpreter: Windows Command Shell
forcing its component SmadAVprotect32.exe to side-load their malicious DLL.,T1574.002,Hijack Execution Flow: DLL Side-Loading
the malware starts a function called bypassSMADAV,T1106,Native API
with the API function IsWindowVisible.,T1106,Native API
by IsWindowVisible function,T1106,Native API
calling the RegisterClass function prior to calling CreateWindow.,T1106,Native API
"Before a call to CreateWindowEx, you would usually first need to create a class by calling RegisterClass and then class CreateWindowEx.",T1106,Native API
the malware creates 2 scheduled tasks,T1053.005,Scheduled Task/Job: Scheduled Task
schtasks /Create /TN test /SC MINUTE /MO 15 /TR,T1053.005,Scheduled Task/Job: Scheduled Task
"the malware creates a scheduled task to execute its copy from this randomized path:

schtasks /Create /TN 8NaZrCq3pGeDRXKF /SC MINUTE /MO 15 /TR ""explorer.exe c:\users\public\8NaZrCq3pGeDRXKF.zip\8NaZr.exe"" /f",T1053.005,Scheduled Task/Job: Scheduled Task
"The final payload returned is a lightweight PowerShell backdoor,",T1105,Ingress Tool Transfer
It then picks one random C&C URL out of the three available and constructs a GET request,T1071.001,Application Layer Protocol: Web Protocols
sends them back to the server in POST request:,T1071.001,Application Layer Protocol: Web Protocols
After the validation of the JSON and Base64 decoding,T1140,Deobfuscate/Decode Files or Information
used by various actors to disable endpoint protection tools.,T1562.001,Impair Defenses: Disable or Modify Tools
techniques like process hollowing where the process is created in suspend mode and then replaced with malicious code.,T1055,Process Injection
The current system username,T1033,System Owner/User Discovery
The current username home folder,T1033,System Owner/User Discovery
"The system’s network interfaces (name, MacAddress, description)",T1082,System Information Discovery
was deployed using DLL side-loading,T1574.002,Hijack Execution Flow: DLL Side-Loading
"due to DLL side-loading, the loader/injector winutils.dll is loaded into memory and runs in the context",T1574.002,Hijack Execution Flow: DLL Side-Loading
abused to side-load,T1574.002,Hijack Execution Flow: DLL Side-Loading
Packed Rorschach loader and injector,T1027,Obfuscated Files or Information
the initial loader/injector winutils.dll is protected with UPX-style packing,T1027,Obfuscated Files or Information
"After unpacking, the sample loads",T1027,Obfuscated Files or Information
decrypted and injected,T1140,Deobfuscate/Decode Files or Information
and decrypts config,T1140,Deobfuscate/Decode Files or Information
"injected into notepad.exe, where the ransomware logic begins.",T1055,Process Injection
is injected into notepad.exe,T1055,Process Injection
"Disable the Windows firewall, using netsh.exe",T1562.001,Impair Defenses: Disable or Modify Tools
"When executed on a Windows Domain Controller (DC), the ransomware automatically creates a Group Policy, spreading itself to other machines within the domain.",T1484.001,Domain or Tenant Policy Modification: Group Policy Modification
creates a group policy,T1484.001,Domain or Tenant Policy Modification: Group Policy Modification
creates another group policy,T1484.001,Domain or Tenant Policy Modification: Group Policy Modification
creates another group policy,T1484.001,Domain or Tenant Policy Modification: Group Policy Modification
deletes them from the original location.,T1070.004,Indicator Removal: File Deletion
creating a schedule task,T1053.005,Scheduled Task/Job: Scheduled Task
"that registers a scheduled task which runs immediately and upon user logon,",T1053.005,Scheduled Task/Job: Scheduled Task
"finds the relevant syscall numbers for NT APIs,",T1106,Native API
with the syscall instruction,T1106,Native API
the malware first creates a syscall table for NT APIs,T1106,Native API
Creation of syscall table for certain NT APIs.,T1106,Native API
It makes direct system calls using the “syscall” instruction.,T1106,Native API
Example use of direct syscall.,T1106,Native API
It uses GetSystemDefaultUILanguage and GetUserDefaultUILanguage to,T1106,Native API
The WinAPI CryptGenRandom is utilized,T1106,Native API
"is implemented via NtSetInformationFile using FileInformationClass FileRenameInformation,",T1106,Native API
Command Line Arguments,T1059.003,Command and Scripting Interpreter: Windows Command Shell
the list of processes,T1057,Process Discovery
code is protected and obfuscated,T1027,Obfuscated Files or Information
This obfuscated process,T1027,Obfuscated Files or Information
"reusing multiple code chunks from DEP-allowed memory pages, called ROP gadgets.",T1055,Process Injection
"ROP-based attacks execute “RET” instructions without a prior “CALL” instruction, the running thread’s stack and the shadow stack values mismatch",T1055,Process Injection
"call other vfgadgets that are responsible for executing specific operations, like Argument LoadersInvokers and Collectors.",T1055,Process Injection
"Collectors are gadgets that retrieve a value already present in a register, and save it back into the attacker’s counterfeit object",T1055,Process Injection
leaked the stack pointer and retrieved the this pointer as a static offset from the stack.,T1055,Process Injection
"vfgadget address,",T1055,Process Injection
prepare the address of the Windows API we want to invoke along with its arguments.,T1106,Native API
the Windows API address and its arguments.,T1106,Native API
"invoke any API we like,",T1106,Native API
"began sending spam emails, mailing new malicious attachments to continue spreading.",T1566.001,Phishing: Spearphishing Attachment
discover commands using the Windows utilities systeminfo,T1082,System Information Discovery
systeminfo,T1082,System Information Discovery
systeminfo,T1082,System Information Discovery
ipconfig,T1016,System Network Configuration Discovery
ipconfig /all,T1016,System Network Configuration Discovery
ipconfig /all,T1016,System Network Configuration Discovery
"Remote access tools were used for command and control, such as Tactical RMM and Anydesk.",T1219,Remote Access Software
"the threat actors deployed Tactical RMM, a remote management agent, for additional access and persistence in the environment.",T1219,Remote Access Software
the threat actor accessed the environment using Tactical RMM to deploy Anydesk on the compromised host.,T1219,Remote Access Software
the threat actors proceeded to deploy several remote management tools across the environment.,T1219,Remote Access Software
Tactical RMM is a remote management software platform that uses a combination of agents to allow for remote management and access to systems.,T1219,Remote Access Software
"the threat actors added AnyDesk to the same server running Tactical RMM, providing an additional means of access prior to the deployment of ransomware.",T1219,Remote Access Software
used by the threat actor for the remote management of Tactical RMM Agent.,T1219,Remote Access Software
Using this RMM agent they proceeded to install AnyDesk on the host.,T1219,Remote Access Software
Tactical RMM Agent was installed by the threat actor on a server to ensure remote access,T1219,Remote Access Software
"The intrusion began when a user double clicked a LNK file, which then executed encoded Powershell commands",T1204.002,User Execution: Malicious File
"The Powershell script, when double clicked (executed),",T1204.002,User Execution: Malicious File
they also used tasklist,T1057,Process Discovery
"Next, they proceeded to transfer a beacon executable over SMB to the remote host’s ProgramData directory.",T1570,Lateral Tool Transfer
"The threat actors, however, proceeded along a more traditional path, using SMB file transfers and remote services to move laterally across domain controllers and several other servers",T1570,Lateral Tool Transfer
rasomware deployment to all hosts over SMB.,T1570,Lateral Tool Transfer
files transferred via SMB as SYSTEM on remote hosts.,T1570,Lateral Tool Transfer
an executable Cobalt Strike beacon was copied via SMB to a target machine,T1570,Lateral Tool Transfer
This beacon was then successfully executed via WMI,T1047,Windows Management Instrumentation
then executed via WMI.,T1047,Windows Management Instrumentation
wmic,T1047,Windows Management Instrumentation
setup a Registry Run Key to maintain persistence on the beachhead host.,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder
established persistence via a run key.,T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder
commands to download an Emotet DLL onto the computer.,T1105,Ingress Tool Transfer
the threat actors dropped Powertool64.exe and dontsleep.exe in preparation for their final actions.,T1105,Ingress Tool Transfer
the threat actors then dropped SoftPerfect’s Network Scanner,T1105,Ingress Tool Transfer
dropped and executed on the server,T1105,Ingress Tool Transfer
"Windows net commands were run,",T1059.003,Command and Scripting Interpreter: Windows Command Shell
threat actors proceeded to run the net commands,T1059.003,Command and Scripting Interpreter: Windows Command Shell
"the threat actors conducted further discovery tasks running find.bat and p.bat,",T1059.003,Command and Scripting Interpreter: Windows Command Shell
and a batch file 1.bat were dropped on the host and the batch file was executed,T1059.003,Command and Scripting Interpreter: Windows Command Shell
two batch files were run.,T1059.003,Command and Scripting Interpreter: Windows Command Shell
The first find.bat was used to run,T1059.003,Command and Scripting Interpreter: Windows Command Shell
C:\Windows\System32\cmd.exe /c,T1059.003,Command and Scripting Interpreter: Windows Command Shell
cmd.exe /c start,T1059.003,Command and Scripting Interpreter: Windows Command Shell
the threat actor executed a batch script,T1059.003,Command and Scripting Interpreter: Windows Command Shell
They then proceeded to dump credentials from the LSASS process on the host.,T1003.001,OS Credential Dumping: LSASS Memory
the ‘mimikatz’ string in the Netlogon event that is used by the Mimikatz Zerologon implementation.,T1003.001,OS Credential Dumping: LSASS Memory
"Process access to LSASS was observed, likely to dump credentials",T1003.001,OS Credential Dumping: LSASS Memory
The Granted Access level matches know indicators for Mimikatz,T1003.001,OS Credential Dumping: LSASS Memory
"request access level of 0x0040 (64) to LSASS, as well indicating other credential access tools may have been in use by the threat actor.",T1003.001,OS Credential Dumping: LSASS Memory
With some further process injection,T1055,Process Injection
The threat actor was observed process injecting into legitimate process,T1055,Process Injection
from a process that was injected with Cobalt Strike.,T1055,Process Injection
Injected Process Name,T1055,Process Injection
the processes used for injection,T1055,Process Injection
"The specific mechanism used to inject into a foreign process, was injecting arbitrary code into its memory space, and executing it as a remotely created thread",T1055,Process Injection
from an injected process,T1055,Process Injection
A flight of netlogon authentications were observed from the beachhead host to the domain controller as a possible attempt at exploiting the domain controller.,T1078,Valid Accounts
"After choosing a new server and connecting via RDP,",T1021.001,Remote Services: Remote Desktop Protocol
"From there, the threat actors began connecting to other hosts via RDP, including the a backup server.",T1021.001,Remote Services: Remote Desktop Protocol
did RDP to a few other servers,T1021.001,Remote Services: Remote Desktop Protocol
traces of RDP (Remote Desktop Protocol) connections were discovered on multiple compromised hosts utilized for lateral movement,T1021.001,Remote Services: Remote Desktop Protocol
They started by connecting to a new server via RDP,T1021.001,Remote Services: Remote Desktop Protocol
"Once establishing the RDP connection, they deployed Powertool64.exe,",T1021.001,Remote Services: Remote Desktop Protocol
The threat actor kept the remote desktop session alive,T1021.001,Remote Services: Remote Desktop Protocol
to execute encoded scripts.,T1027,Obfuscated Files or Information
The script will decode itself,T1140,Deobfuscate/Decode Files or Information
The decoded base 64 content,T1140,Deobfuscate/Decode Files or Information
is a Base64 encoded script with various components split into different variables for obfuscation purposes.,T1027,Obfuscated Files or Information
A service was also created for the agent.,T1543.003,Create or Modify System Process: Windows Service
service was installed in the system,T1543.003,Create or Modify System Process: Windows Service
svcService Type: user mode serviceService Start Type: auto startService Account: LocalSystem,T1543.003,Create or Modify System Process: Windows Service
a separate service was created for that agent.,T1543.003,Create or Modify System Process: Windows Service
service was installed in the system,T1543.003,Create or Modify System Process: Windows Service
service was installed in the system,T1543.003,Create or Modify System Process: Windows Service
--serviceService Type: user mode serviceService Start Type: auto startService Account: LocalSystem,T1543.003,Create or Modify System Process: Windows Service
Service Type: user mode serviceService Start Type: auto startService Account: LocalSystem,T1543.003,Create or Modify System Process: Windows Service
The threat actor was observed creating remote services,T1543.003,Create or Modify System Process: Windows Service
"This occurred from rundll32.exe, which was previously used to execute and run Cobalt Strike.",T1218.011,System Binary Proxy Execution: Rundll32
"C:\Windows\System32\cmd.exe /c rundll32.exe C:\ProgramData\x86.dll, StartA",T1218.011,System Binary Proxy Execution: Rundll32
delete its process file,T1070.004,Indicator Removal: File Deletion
delete the driver files.,T1070.004,Indicator Removal: File Deletion
removing files from the system.,T1070.004,Indicator Removal: File Deletion
The threat actor was observed deleting files that had been dropped to disk,T1027,Obfuscated Files or Information
whoami /groups,T1033,System Owner/User Discovery
The threat actor was observed creating remote services in order to execute beacon DLL files,T1569.002,System Services: Service Execution
the threat actors began to review sensitive documents,T1005,Data from Local System
Both HTTP and HTTPS were observed to be used.,T1071.001,Application Layer Protocol: Web Protocols
Infected email attachments,T1566.001,Phishing: Spearphishing Attachment
"obtaining relevant device data, such as OS version and architecture, hardware ID, CPU, RAM, screen resolution, system language, etc.",T1082,System Information Discovery
"collects information, primarily system information",T1082,System Information Discovery
can take away system,T1082,System Information Discovery
exfiltrate files and extract data from specific applications.,T1005,Data from Local System
"acquire browsing histories, Internet cookies, usernames/passwords, personally identifiable details, credit card numbers, and other highly sensitive information from browsers.",T1005,Data from Local System
target stored browser data,T1005,Data from Local System
collects sensitive information from the victim’s machine,T1005,Data from Local System
"collects cookie information, search histories, and key inputs from browsers",T1005,Data from Local System
collect inside of the “Web Data” SQLite file,T1005,Data from Local System
sensitive data from the victim’s machine.,T1005,Data from Local System
"usernames/passwords,",T1078,Valid Accounts
include saved credentials,T1078,Valid Accounts
run under the name “tmp.exe” by unpacking itself to the “C:\Users\admin\AppData\Local\Temp\” file path.,T1036.005,Masquerading: Match Legitimate Name or Location
Registry Key Sets,T1112,Modify Registry
transmits information as a zip file,T1041,Exfiltration Over C2 Channel
sends this information to its C2 server,T1041,Exfiltration Over C2 Channel
C2 is transmitted as a zip file during the POST request.,T1041,Exfiltration Over C2 Channel
transferred to the C2 server as a zip file.,T1041,Exfiltration Over C2 Channel
transfers them to the C2 address,T1041,Exfiltration Over C2 Channel
